type,subtype,bedroomCount,bathroomCount,province,postCode,habitableSurface,buildingCondition,facedeCount,hasTerrace,epcScore,price,price_per_m2
APARTMENT,APARTMENT,3.0,3.0,Brussels,1040,183.0,GOOD,2.0,1,C,795000.0,4344.26
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,187.0,GOOD,2.0,1,C,795000.0,4251.34
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,82.0,TO_RENOVATE,2.0,0,F,330000.0,4024.39
APARTMENT,DUPLEX,2.0,1.0,Brussels,1040,106.0,GOOD,2.0,0,G,435000.0,4103.77
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,75.0,AS_NEW,2.0,1,D,255000.0,3400.0
APARTMENT,DUPLEX,3.0,1.0,Brussels,1040,198.0,AS_NEW,2.0,1,B,995000.0,5025.25
APARTMENT,APARTMENT,4.0,3.0,Brussels,1040,239.0,GOOD,2.0,1,D,1000000.0,4184.1
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,220.0,GOOD,2.0,1,C,950000.0,4318.18
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,115.0,TO_BE_DONE_UP,3.0,1,C,395000.0,3434.78
APARTMENT,FLAT_STUDIO,0.0,1.0,Brussels,1040,37.0,AS_NEW,2.0,1,A,290000.0,7837.84
APARTMENT,APARTMENT,3.0,2.0,Brussels,1040,220.0,JUST_RENOVATED,2.0,1,C,950000.0,4318.18
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,72.0,GOOD,2.0,1,D,325000.0,4513.89
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,50.0,JUST_RENOVATED,3.0,1,E,275000.0,5500.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,90.0,GOOD,2.0,0,F,375000.0,4166.67
APARTMENT,DUPLEX,2.0,1.0,Brussels,1040,111.0,JUST_RENOVATED,3.0,0,E,420000.0,3783.78
APARTMENT,PENTHOUSE,2.0,2.0,Brussels,1040,250.0,AS_NEW,2.0,1,D,1495000.0,5980.0
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,50.0,JUST_RENOVATED,3.0,1,E,275000.0,5500.0
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,155.0,JUST_RENOVATED,2.0,1,C,900000.0,5806.45
APARTMENT,PENTHOUSE,3.0,3.0,Brussels,1040,198.0,JUST_RENOVATED,2.0,1,B,995000.0,5025.25
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,91.0,TO_RENOVATE,2.0,0,E,335000.0,3681.32
